T,P,Phase
1238,22.9454,1
1238,22.9551,1
1239,23.2755,1
1240,24.1685,2
1292,23.5472,1
1345,23.7018,2
1344,23.4011,1
1397,23.5747,1
1450,23.5538,1
1451,23.8737,2
1450,23.6799,2
1450,23.486,1
1557,23.7916,2
1556,23.3556,1
1556,23.4428,1
1557,23.6754,2
1557,23.5591,1
1556,23.5494,1
1610,23.6239,1
1610,23.8273,2
1610,23.5367,1
1610,23.6336,2
1663,23.7269,2
1663,23.5429,1
1663,23.6107,1
1663,23.6882,2
1717,23.6259,2
1717,23.6259,2
1716,23.5194,1
1770,23.4759,1
1770,23.7374,2
1824,23.6255,2
1823,23.3835,1
1824,23.519,2
1877,23.3969,1
1877,23.4937,2
1931,23.3031,1
1931,23.429,2
1984,23.1604,1
1984,23.354,1
1985,23.5378,2
1985,23.4894,2
2038,23.0072,1
2038,23.1717,1
2038,23.3654,2
2038,23.2589,1
