P,T,Phase
14.36872289,300,0
15.71415624,300,0
15.84834116,300,0
18.95481899,1473,1
18.83735705,1573,1
18.39244438,1573,0
18.6026892,1573,0
18.58647212,1573,0
18.58647212,1573,1
18.52167786,1573,1
18.90271499,1573,1
18.88636433,1573,1
18.96819222,1573,0
19.05020678,1573,1
19.06663209,1573,1
19.00097564,1573,1
19.03378891,1573,1
19.05020678,1573,1
19.11890438,1623,1
18.46518109,1673,0
19.32658219,1673,1
19.55396589,1673,1
19.57026352,1673,1
19.32658219,1673,1
19.20658218,1673,1
18.88330025,1723,0
18.3275787,1723,0
18.31202788,1723,0
18.00810998,1773,0
17.87137187,1773,0
19.834309,1773,1
19.63523946,1773,1
19.53953248,1773,1
