T,P,Phase
1554,22.63889714,1
1608,22.62936672,1
1661,22.66425596,1
1714,22.64680008,1
1768,22.72747462,1
1660,22.40046939,1
1554,22.12448539,1
1447,21.85021363,1
1342,21.57631213,1
1236,21.34614749,1
1131,21.060105,1
1027,20.88320645,1
922,20.69145659,1
819,20.47488763,1
715,20.32007855,1
612,20.18261735,1
509,20.13571607,1
407,20.05580771,1
305,19.89172616,1
1767,22.59745767,1
1821,22.88369682,1
1875,22.67337972,1
1928,22.7554266,1
1982,22.68741318,1
1874,22.52248488,1
1767,22.22588319,1
1660,21.9778564,1
1553,21.68582428,1
1982,22.6149267,1
2036,22.52483547,1
2089,22.49992153,1
1979,21.27991602,1
1872,21.17512565,1
300,0.159794955,1
302,4.292044917,1
302,5.009408735,1
303,10.01013705,1
1661,22.58184822,1
306,22.51037337,1
1131,21.20361128,1
1342,21.77142068,1
1554,22.20681806,1
1659,22.35955714,1
1767,22.30847382,1
1873,22.08196477,1
1980,21.87730754,1
1872,21.53761935,1
1765,21.2939432,1
1658,21.09870583,1
1552,20.90669771,1
1446,20.67089975,1
1340,20.42277174,1
1235,20.22058299,1
1130,20.02788242,1
1026,19.79035131,1
922,19.57494187,1
818,19.42454669,1
715,19.25599103,1
612,19.0676983,1
509,18.95958701,1
407,18.86912388,1
305,18.78587635,1
305,19.15469922,1
305,19.37998878,1
509,19.45074492,1
715,19.85986399,1
922,20.26146158,1
309,19.46439847,1
305,20.83231214,1
305,21.49608715,1
305,22.07765612,1
716,22.49019607,1
1133,23.18125195,1
1344,23.58866054,1
1450,23.81956339,1
1556,24.02810937,1
1344,23.74225375,1
1133,23.27323091,1
924,22.91112014,1
716,22.55134634,1
510,22.27378617,1
305,22.15924225,1
1556,24.02810937,1
1555,23.42630418,1
1769,23.77484478,1
1769,23.48636893,1
1768,23.21217748,1
1876,23.33038444,1
1983,23.34557267,1
1768,22.74810758,1
1554,22.34058681,1
1342,21.91514857,1
1131,21.39832105,1
923,20.98420703,1
715,20.63693383,1
510,20.30491166,1
305,20.12699432,1
1767,22.19490896,1
1765,21.45935158,1
1764,20.67742448,1
1551,20.2505122,1
1874,22.35705544,1
1982,22.54243184,1
1552,20.90669771,1
1551,19.99241033,1
1550,19.29392766,1
1338,18.75166064,1
1129,18.27374537,1
921,17.9262931,1
714,17.40406076,1
509,17.09387372,1
305,16.9179935,1
1127,16.57029175,1
919,16.10208548,1
713,15.57746328,1
508,15.39176135,1
304,15.44173603,1
1767,22.24653184,1
1874,22.11917475,1
1980,21.9187773,1
2088,21.91237136,1
1980,21.58694038,1
1979,21.42518795,1
1979,21.24878175,1
1978,20.95197913,1
1978,20.71311462,1
1977,20.4680189,1
