T,P,Phase
1541,13.94106468,0
1540,13.71561978,0
1645,13.66185895,0
1752,14.66321735,0
1647,14.62533654,0
1542,14.4793079,0
1437,14.29886856,0
1332,14.07419165,0
1124,13.70480006,0
917,13.37155479,0
712,13.0314818,0
507,12.75434866,0
313,12.6046822,0
312,13.22757336,0
1755,15.85193534,0
320,14.08139945,0
1546,17.18743617,0
1757,17.02149192,0
1545,16.57915446,0
1335,16.16909382,0
1126,15.75808637,0
919,15.35930465,0
713,15.00030775,0
508,14.68090753,0
310,14.564132,0
1542,14.76074767,0
1647,14.48957399,0
1541,14.13933694,0
1332,13.66839267,0
1123,13.21049193,0
917,12.73916084,0
711,12.40404357,0
507,12.00894251,0
309,11.80352597,0
1547,17.88834602,0
1547,17.74325784,0
1653,17.72355683,0
1759,17.68954713,0
1758,17.47529474,0
1546,17.06292541,0
1336,16.61034238,0
1127,16.14680121,0
919,15.60700583,0
713,15.15496039,0
508,14.84582243,0
311,14.61386666,0
1760,18.49610346,0
1548,18.10178013,0
1337,17.55794497,0
1128,17.09259538,0
920,16.52056704,0
713,16.08199997,0
508,15.75200342,0
312,15.55676043,0
1762,19.41145317,0
1549,18.81196334,0
1338,18.28728589,0
1128,17.73184861,0
920,17.25158773,0
714,16.84924766,0
508,16.47182525,0
313,16.25498408,0
1339,19.13948059,0
1129,18.65457704,0
921,18.14210368,0
714,17.77365768,0
509,17.42231197,0
312,17.23351048,0
309,19.00357467,0
1761,19.0006558,0
1761,19.0006558,0
1867,18.70475695,0
1867,18.59031428,0
1760,18.44416514,0
1548,18.06034479,0
1337,17.56828089,0
1128,17.2163756,0
920,16.89133769,0
713,16.56553584,0
508,16.36904693,0
313,16.21382641,0
2193,20.80972914,0
2193,20.80972914,0
1976,20.03567429,0
1762,19.67067402,0
