exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_211,w_a_mean,w_a_std,w_v_110,w_v_211,w_v_mean,w_v_std,w_v_110_jbar,w_v_211_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
8,19,1900-01-01 11:36:58,1900-01-01 11:36:59,1615.0,1565.0,1590.0,25.0,3.1199263329709237,3.121890574340987,3.1209084536559546,0.0009821206850313402,30.369176737811202,30.42657228253184,30.39787451017152,0.02869777236031545,0.9144373001311342,0.9161655204054936,0.915301410268314,0.0008641101371796855,19.79,0.0,184.0,3.376533128014912,3.3813677691350112,3.381513042468544,3.379804646539489,0.002314073058173501,38.495773036113455,38.661368797511905,38.666352024073454,38.60783128589961,0.07926326028113588,19.44,1.3,1266.25,1247.5,19.0,348.1507620629316,1285.0,rw,1
9,20,1900-01-01 11:38:48,1900-01-01 11:38:48,1574.0,1685.0,1629.5,-55.5,3.120846428107489,3.122807532296856,3.1218269802021723,0.0009805520946830626,30.396053115798512,30.45339072704508,30.42472192142179,0.028668805623285113,0.9152465668009616,0.9169730426576156,0.9161098047292886,0.0008632379283268765,19.63,0.0,218.0,3.377904119667873,3.3813007826816097,3.3795653996587247,3.3795901006694025,0.0013867918642603851,38.54268400711803,38.65907114444514,38.59957877071873,38.60044464076063,0.047518794401077216,19.56,1.34,1295.875,1337.5,42.0,360.36448324057966,1254.25,rw,1
12,25,1900-01-01 11:41:35,1900-01-01 11:41:35,1749.0,1648.0,1698.5,50.5,3.119622456641909,3.1352242485860016,3.127423352613955,0.007800895972046362,30.360303859916097,30.81809774464201,30.589200802279052,0.2288969423629545,0.9141701315286778,0.9279546278151408,0.9210623796719092,0.006892248143231583,17.98,0.12,220.0,3.3786322207345623,3.3837812625656265,3.378107980358953,3.3801738212197137,0.0025598088198150273,38.56761279523693,38.744213003406955,38.54966272421212,38.620496174285336,0.0877874008362577,19.71,1.41,1347.625,1309.75,38.0,377.78062024308497,1385.5,rw,1
13,26,1900-01-01 11:42:05,1900-01-01 11:42:05,2026.0,1859.0,1942.5,83.5,3.1182310184785256,3.142257421028722,3.1302442197536235,0.012013201275098195,30.31969736350345,31.02596382047425,30.67283059198885,0.35313322848540096,0.9129474413231464,0.9342136217554088,0.9235805315392778,0.01063309021613118,18.01,0.35,278.0,3.37520269368931,3.3808779850070545,3.3818589740073755,3.3793132175679133,0.002934040419184724,38.450286214405615,38.64457117291739,38.67822003602721,38.591025807783396,0.1004615560144052,20.45,1.66,1530.625,1468.0,63.0,443.8897887215362,1593.25,rw,1
14,28,1900-01-01 11:43:34,1900-01-01 11:43:34,2147.0,1973.0,2060.0,87.0,3.117028690773933,3.1443522540796423,3.1306904724267874,0.013661781652854366,30.284638872607502,31.088056970140514,30.68634792137401,0.401709048766504,0.9118918054711004,0.936083290223134,0.9239875478471172,0.012095742376016795,18.34,0.47,293.0,3.3747571603565434,3.3779873577454524,3.3739117293001586,3.375552082467385,0.0017562484026565528,38.43506168612673,38.54553337571926,38.40618311476278,38.46225939220293,0.06005225623857058,21.07,1.76,1618.75,1553.5,65.0,474.4787435965914,1684.0,rw,1
15,29,1900-01-01 11:43:58,1900-01-01 11:43:58,2146.0,2022.0,2084.0,62.0,3.116149433829423,3.1462934935245754,3.1312214636769986,0.015072029847576163,30.25901786832365,31.14567134346999,30.702344605896823,0.4433267375731713,0.9111203389876243,0.9378180995810236,0.924469219284324,0.013348880296699615,18.26,0.54,270.0,3.3752703809111373,3.3775625842424866,3.3743891202677427,3.3757406951404554,0.0013375637070116755,38.45259953791414,38.53099418947403,38.42248824730854,38.46869399156557,0.045735897280350636,21.12,1.77,1636.75,1590.25,46.0,478.47473091585516,1683.25,rw,1
19,33,1900-01-01 11:45:26,1900-01-01 11:45:26,2234.0,2039.0,2136.5,97.5,3.1167159689160933,3.1470533397350926,3.1318846543255927,0.015168685409499894,30.275524694323725,31.16824231750256,30.721883505913137,0.4463588115894179,0.9116173711439968,0.9384977275055426,0.9250575493247696,0.013440178180772977,18.26,0.59,311.0,3.3753705343883182,3.3757486227244944,3.3753676147479137,3.375495590620242,0.00017892468697160532,38.45602261997097,38.46894689199747,38.45592282856215,38.46029744684353,0.0061162170053397314,21.29,1.83,1676.125,1603.0,73.0,495.3464351151122,1749.25,bdg,2
20,34,1900-01-01 11:45:47,1900-01-01 11:45:47,2234.0,2108.0,2171.0,63.0,3.116377225226864,3.1484577263286297,3.1324174757777463,0.016040250550883206,30.26565418149049,31.209987842665356,30.737821012077926,0.4721668305874314,0.911320163050934,0.9397547146689416,0.9255374388599378,0.014217275809003838,18.22,0.66,280.0,3.3766861180049177,3.3757597942481983,3.3762747189634217,3.3762402104055127,0.0003789565111306171,38.501005978806425,38.46932881454768,38.486935366347396,38.48575671990051,0.01295897602575085,21.33,1.85,1702.0,1654.75,47.0,501.13674780442915,1749.25,bdg,2
21,35,1900-01-01 11:46:12,1900-01-01 11:46:13,2229.0,2136.0,2182.5,46.5,3.1156076171654186,3.146646984382477,3.131127300773948,0.015519683608529178,30.24323686359519,31.156170313553147,30.69970358857417,0.4564667249789789,0.9106451618209256,0.9381342309644948,0.92438969639271,0.01374453457178454,18.7,0.6,265.0,3.374753697188043,3.3736409355009536,3.3752354497161012,3.3745433608016984,0.0006677324524796777,38.4349433603166,38.396936291756546,38.45140569457568,38.427761782216294,0.022809504727588536,21.49,1.86,1710.625,1675.75,35.0,503.14351285816065,1745.5,bdg,2
25,39,1900-01-01 11:47:30,1900-01-01 11:47:30,2372.0,2254.0,2313.0,59.0,3.1114581419749654,3.1432957437208433,3.127376942847904,0.015918800872938732,30.12256072532937,31.056730499517457,30.589645612423414,0.4670848870940407,0.907011518307348,0.9351400281299104,0.9210757732186292,0.014064254911281273,20.5,0.57,290.0,3.357165412549328,3.3574426220813662,3.355598773753011,3.3567356027945685,0.0008117867057542349,37.837132893426116,37.846506587056375,37.784186920818904,37.82260880043381,0.027436559039894105,23.29,1.99,1808.5,1764.25,44.0,537.7387585993779,1852.75,bdg,2
