exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_200,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_200,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_200_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
27,34,1900-01-01 20:32:39,1900-01-01 20:32:39,1423.0,1530.0,1476.5,-53.5,3.113629760115224,3.113584382478612,3.112128109196989,3.113925045816713,3.1133168244018847,0.0006986582163172035,30.185676180482773,30.18435643331861,30.14202311868937,30.1942651052376,30.176580209432093,0.020311046302078948,0.9089119691132852,0.908872230596694,0.907597544678489,0.9091705876867036,0.908638083018793,0.0006115799089208339,22.04,0.05,201.0,3.3394719582435024,3.3496742646866458,3.340742505276627,3.341858730294063,3.3429368646252096,0.003980443518269794,37.242034925853936,37.5844093726432,37.28455880016831,37.32194437930767,37.35823686949328,0.1336062270535959,22.15,1.24,1181.125,1221.25,40.0,320.61963957507345,1141.0,rw,1
28,35,1900-01-01 20:33:04,1900-01-01 20:33:05,1547.0,1691.0,1619.0,-72.0,3.114816001776376,3.1149578530526263,3.1154373324388627,3.1153392506933333,3.1151376094902994,0.0002579907552589028,30.220190062881716,30.224319007659755,30.238278267567434,30.235422427991196,30.229552441525026,0.007510654850247955,0.9099512064199272,0.9100755318551474,0.9104958550022652,0.9104098636612996,0.9102331142346598,0.00022615110718250488,21.94,0.03,234.0,3.3400790719372564,3.3510295019940877,3.3415841884635897,3.342263759624489,3.3437391305048565,0.004282698903878137,37.26235034735903,37.63004641121439,37.31274686917299,37.33551615077028,37.385164944629174,0.1438399617317553,22.48,1.38,1288.0,1342.0,54.0,359.2581801434729,1234.0,rw,1
30,37,1900-01-01 20:33:33,1900-01-01 20:33:33,1689.0,1788.0,1738.5,-49.5,3.1150940648862986,3.1153500726008714,3.1155639604580228,3.1155570521723672,3.1153912875293903,0.00019192044383216809,30.228284155956363,30.23573751991813,30.241965553015593,30.24176438268857,30.236937902894663,0.00558794300932806,0.9101949252629528,0.910419351301134,0.910606881764009,0.9106008243837812,0.9104554956779694,0.0001682568995152779,22.33,0.02,223.0,3.3408845081417664,3.351077432441643,3.3424424090936795,3.34359367363986,3.344499505829237,0.003917572773203149,37.289313496964496,37.63166112462946,37.34150340415526,37.38010220657302,37.41064505808056,0.1316082097376033,22.74,1.48,1377.625,1414.75,37.0,388.04416247541985,1340.5,rw,1
31,38,1900-01-01 20:33:49,1900-01-01 20:33:50,1783.0,1819.0,1801.0,-18.0,3.114907326243693,3.1153290300410275,3.1156826574010057,3.115697275102645,3.1154040721970935,0.0003224769476527351,30.222848252330913,30.23512484429204,30.24542216536519,30.245847870432172,30.237310783105077,0.00938908285041749,0.9100312463763652,0.9104009032065344,0.9107109627962956,0.9107237810756801,0.9104667233637188,0.00028271189721626363,22.57,0.01,198.0,3.3394078516358783,3.3501840720887714,3.3423885647239526,3.349059596869583,3.3452600213295463,0.004504891877869293,37.239890202329605,37.60157258757442,37.339698798050144,37.56372286457341,37.4362211131319,0.15121192956093482,22.85,1.54,1424.5,1438.0,14.0,402.7905814440055,1411.0,rw,1
32,39,1900-01-01 20:34:12,1900-01-01 20:34:12,1937.0,1819.0,1878.0,59.0,3.1167750048214784,3.115536815588101,3.118031468701759,3.1164382269385698,3.116695379012477,0.000894409347653631,30.277245136819648,30.241175095417017,30.31387685024374,30.26743152683491,30.27493215232883,0.02606644234972296,0.9116691748792308,0.9105830805290086,0.9127721815695964,0.9113736801710118,0.911599529287212,0.000784878937354491,22.42,0.0,247.0,3.3406909255380266,3.3488576192487884,3.343810130177629,3.3509956341980507,3.3460885772906237,0.004064257821171814,37.28283185045443,37.55692701015724,37.38736238120224,37.62890547778877,37.46400667990067,0.13649585036529352,22.99,1.61,1482.25,1438.0,44.0,424.881999059739,1526.5,rw,1
33,40,1900-01-01 20:34:28,1900-01-01 20:34:28,2104.0,2120.0,2112.0,-8.0,3.1119509900613265,3.1133190317545987,3.1191175972251086,3.1133072468127216,3.1144237164634387,0.0027664835645360305,30.136877033702163,30.17663983668012,30.345566302617605,30.176297152300464,30.208845081325087,0.08057393762379017,0.9074425924352136,0.9086398784372256,0.9137263732989798,0.9086295599692068,0.9096096010351564,0.002426138008867996,24.18,0.01,219.0,3.3418597992371617,3.3480188915325777,3.3408553732995285,3.3536259335029195,3.346089999393047,0.005143122385576987,37.3219801932521,37.528715467044776,37.28833793903458,37.7175832951885,37.46415422363,0.1728577950983829,23.64,1.84,1657.75,1663.75,6.0,483.59116319986657,1651.75,bdg,2
35,42,1900-01-01 20:34:55,1900-01-01 20:34:55,2272.0,2255.0,2263.5,8.5,3.1061780577415488,3.1136140810727944,3.1191490378176843,3.1136367102699527,3.113144471725495,0.004611089065364905,29.969468606591768,30.185220172398196,30.34648395850009,30.185878319726537,30.171762764304148,0.13400631765266688,0.9024018067916758,0.9088982383886988,0.9137540045638926,0.9089180556682784,0.9084930263531366,0.004035024603161236,25.26,0.03,235.0,3.343067522438283,3.3477306749194997,3.340136130098794,3.354495831465228,3.346357539730452,0.005423270327841543,37.362458473934936,37.51902424202064,37.26426002447752,37.74694163235823,37.47317109319784,0.1823142466094297,24.04,1.99,1771.375,1765.0,6.0,523.0685514645762,1777.75,bdg,2
36,43,1900-01-01 20:35:18,1900-01-01 20:35:18,2473.0,2428.0,2450.5,22.5,3.1009797189517383,3.1131376919499325,3.115308082862181,3.1148503494387016,3.1110689608006385,0.005880933291969696,29.819254224916786,30.17136709670126,30.23451495400154,30.221189805077692,30.11158152017432,0.17040845635212432,0.8978787459657062,0.9084811125229508,0.9103825389803508,0.9099813093615512,0.9066809267076396,0.005131118636882132,26.79,0.04,268.0,3.347963014370672,3.34724291114294,3.3398076596735335,3.3540596659981903,3.3472683127963334,0.005056359333860949,37.52683647844256,37.502627085413415,37.25326735544302,37.73221950482553,37.50373760603113,0.16990741277905747,24.48,2.16,1911.625,1894.75,17.0,572.030040322403,1928.5,bdg,2
37,44,1900-01-01 20:35:43,1900-01-01 20:35:43,2675.0,2544.0,2609.5,65.5,3.1002867247967107,3.112284340514804,3.112128109196989,3.116607697420162,3.1103267179821668,0.0060689674194556896,29.799267040476057,30.146562807513984,30.14202311868937,30.272369582492022,30.090055637292856,0.17584798979648852,0.8972769177655217,0.907734237906233,0.907597544678489,0.9115223685046464,0.9060327672137224,0.0052949068198738,27.73,0.07,326.0,3.347963014370672,3.3476312020860584,3.3392281836134035,3.342605675697758,3.344357018941973,0.0036433375248338955,37.52683647844256,37.51567987553632,37.233879743812615,37.34697567638242,37.405842943543476,0.12220912846598085,25.17,2.3,2030.875,1981.75,49.0,615.1848691907579,2080.0,bdg,2
38,45,1900-01-01 20:36:08,1900-01-01 20:36:09,2870.0,2636.0,2753.0,117.0,3.102422642982745,3.11247317266234,3.112128109196989,3.1200022823943083,3.1117565518090964,0.0062403030215356274,29.86089939496243,30.152050402769174,30.14202311868937,30.37139465326625,30.13159189242181,0.181181644639082,0.8991327113658493,0.9078994732641978,0.907597544678489,0.9145040831275304,0.9072834531090166,0.005455506923597351,27.83,0.14,392.0,3.347963014370672,3.3478478011945176,3.3409110114633163,3.3422622731904896,3.3447460250547483,0.003195558951485728,37.52683647844256,37.52296238794249,37.290200955214296,37.335466337147004,37.4188665396866,0.10724257516294748,25.54,2.45,2138.5,2050.75,88.0,656.571452699552,2226.25,bdg,2
