exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_200,w_a_220,w_a_321,w_a_mean,w_a_std,w_v_200,w_v_220,w_v_321,w_v_mean,w_v_std,w_v_200_jbar,w_v_220_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
52,57,1900-01-01 21:04:24,1900-01-01 21:04:24,1488.0,1682.0,1585.0,-97.0,3.1117974246838744,3.112725399805786,3.113173857863361,3.112565560784341,0.0005731802851812152,30.13241576242387,30.159381340040625,30.172418628469075,30.15473857697786,0.01665780617008896,0.9073082604150179,0.9081202129485104,0.9085127748850576,0.907980416082862,0.0005015782756244224,22.73,0.05,256.0,3.3295041347291168,3.3448007204075028,3.3294983795816684,3.3261613975781694,3.332491158074114,0.007236543103305738,36.90954365503603,37.420599790478256,36.90935225761748,36.79848650958923,37.00949555318025,0.2416353512994201,23.39,1.47,1262.5,1335.25,73.0,353.9411144526728,1189.75,bdg,2
54,59,1900-01-01 21:05:11,1900-01-01 21:05:11,1482.0,1746.0,1614.0,-132.0,3.1119215497245265,3.113176571012178,3.1131738578704744,3.1127573262023933,0.0005909842530336972,30.136021720023518,30.172497514843858,30.17241862867589,30.160312621181088,0.017176291121621917,0.9074168383379654,0.9085151502093608,0.908512774891285,0.9081482544795372,0.0005171902226761689,22.78,0.06,293.0,3.3297132826667815,3.347845161341064,3.3294910639061923,3.326859181809916,3.3334771724309884,0.00837097414446503,36.91649968171369,37.52287362490758,36.90910896308561,36.82165086127421,37.042533282745275,0.2798224464232433,23.38,1.56,1284.25,1383.25,99.0,367.4629819791376,1185.25,bdg,2
55,60,1900-01-01 21:05:34,1900-01-01 21:05:34,1515.0,1771.0,1643.0,-128.0,3.1124756901464186,3.1136319930537963,3.113445199922064,3.1131842943740935,0.0005068286246349028,30.152123567128207,30.185741123473,30.180308736916384,30.1727244758392,0.014734897029707329,0.9079016762945766,0.9089139245924592,0.908750351607291,0.9085219841647756,0.0004436781271314587,22.74,0.05,292.0,3.3299995199993506,3.3511629256562614,3.3295953917023886,3.327524649884624,3.334570621810656,0.009625463023757296,36.9260210319647,37.63454139268556,36.91257865252128,36.84375146745779,37.079223136157324,0.32212829022342304,23.36,1.64,1306.0,1402.0,96.0,373.9536869720634,1210.0,bdg,2
56,61,1900-01-01 21:06:01,1900-01-01 21:06:01,1595.0,1814.0,1704.5,-109.5,3.1129669352738283,3.1138543640849865,3.113996278255683,3.113605859204833,0.0004554871020263676,30.16640263933993,30.19220904948301,30.19633727491014,30.184982987911035,0.013245944689143255,0.9083316292154084,0.909108678399884,0.9092329821749421,0.9088910965967448,0.00039884472351021407,22.83,0.04,280.0,3.330605110988798,3.35883652877906,3.3299784629037283,3.327869948946925,3.336822512904628,0.012750121600736691,36.94617070388411,37.89366426928333,36.92532053651329,36.855222546772104,37.1550945141132,0.4277422469524759,23.32,1.83,1352.125,1434.25,82.0,386.2312270923339,1270.0,bdg,2
57,62,1900-01-01 21:06:16,1900-01-01 21:06:16,1657.0,1812.0,1734.5,-77.5,3.114723180990413,3.1140047544805287,3.114402369674058,3.114376768381667,0.00029385453561853067,30.217488479671697,30.196583856747182,30.20815238790719,30.20740824144202,0.008550482652078913,0.9098698598467888,0.9092404069277192,0.90958874354849,0.9095663367743329,0.00025746105463070974,22.67,0.03,251.0,3.331055035845237,3.3390340915635948,3.330607179657445,3.3282185580727446,3.332228716284756,0.004074352966392833,36.96114568200247,37.22738748309001,36.946239546718886,36.86680600380315,37.00039467890363,0.13587211760254098,23.83,1.49,1374.625,1432.75,58.0,389.5766349914353,1316.5,bdg,2
58,63,1900-01-01 21:06:27,1900-01-01 21:06:28,1744.0,1843.0,1793.5,-49.5,3.1138498856222943,3.1148106841269394,3.1146616577433317,3.1144407424975222,0.00042220540104348096,30.192078778951824,30.22003528638555,30.215697911604263,30.20927065898055,0.01228478080633936,0.9091047558624424,0.9099465459906206,0.9098159445812081,0.9096224154780904,0.0003699034020657271,22.88,0.02,229.0,3.3313379522747706,3.3371576201978668,3.329838035839963,3.3296728729706846,3.3320016203208214,0.0030466765513435107,36.97056414259593,37.1646595734859,36.920649248934616,36.91515563226968,36.992757149321534,0.101568348573838,24.01,1.51,1418.875,1456.0,37.0,402.2995815076745,1381.75,bdg,2
59,64,1900-01-01 21:06:39,1900-01-01 21:06:39,1825.0,1838.0,1831.5,-6.5,3.115918751776459,3.114652411151337,3.1142664580802513,3.1149458736693485,0.0007057425412244023,30.252298329553522,30.21542880558408,30.204197736115145,30.223974957084252,0.02054579115664937,0.9109180089427856,0.9098078416094132,0.9094696661978297,0.9100651722500094,0.0006186482418191723,22.86,0.01,190.0,3.3267369583364927,3.3368110930090102,3.3302148413124466,3.3303563795416347,3.3310298180498963,0.003639007116605925,36.81759270508413,37.15308334974607,36.93318452260503,36.937893840136674,36.96043860439297,0.12121056083422285,24.21,1.56,1447.375,1452.25,5.0,410.51913418408407,1442.5,bdg,2
60,65,1900-01-01 21:07:07,1900-01-01 21:07:07,2078.0,2061.0,2069.5,8.5,3.1198554279266326,3.11741486902559,3.113173857868976,3.1168147182737327,0.002760553121213103,30.36710622845817,30.295896437816097,30.17241862863232,30.278473764968858,0.08043000073912453,0.9143749556362856,0.9122307786880656,0.9085127748899732,0.9117061697381079,0.002421803967898061,23.16,0.02,215.0,3.3271485534424436,3.3394187073672588,3.3312611259057094,3.331386538912616,3.332303731407007,0.004447668239212166,36.8312599857866,37.24025338129145,36.96800638765431,36.97218178238658,37.00292538427973,0.14828864807200415,24.75,1.79,1625.875,1619.5,6.0,472.5186089258813,1632.25,bdg,2
61,66,1900-01-01 21:07:21,1900-01-01 21:07:21,2280.0,2268.0,2274.0,6.0,3.1120067360372925,3.112682196258636,3.1131738578633565,3.112620930053095,0.00047844087072824873,30.13849663477225,30.158125552264924,30.17241862846893,30.15634693850204,0.013905586749638871,0.9074913597640948,0.9080824002941512,0.9085127748850532,0.9080288449811,0.00041870701052777466,25.49,0.01,233.0,3.3247187275752386,3.3386748613763264,3.3314371866636963,3.331042994831221,3.3314684426116203,0.004941485283616497,36.75062498678865,37.21537344342588,36.97386809495371,36.96074486479017,36.9751528474896,0.16456604714936598,25.39,2.0,1779.25,1774.75,4.0,525.7859527650012,1783.75,bdg,2
63,68,1900-01-01 21:08:15,1900-01-01 21:08:15,2402.0,2367.0,2384.5,17.5,3.1111120040098323,3.113743067631519,3.1131738578644823,3.112676309835277,0.0011302770976963433,30.112508780364266,30.188971744239797,30.172418628501674,30.15796638436857,0.03284607263707083,0.9067088471650144,0.909011200859025,0.9085127748860392,0.9080776076366928,0.0009890183800984529,25.93,0.02,256.0,3.3265252655723168,3.336328416074448,3.330597520302488,3.3288984786781484,3.33058742015685,0.0036163779989774134,36.81056462731702,37.13696286048125,36.945918095594934,36.889405140664564,36.945712681014435,0.12042861875369384,25.78,2.08,1862.125,1849.0,13.0,554.7249190195533,1875.25,bdg,2
