,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
5,2.0,1900-01-01 05:29:11,1900-01-01 05:29:08,1224.0,1391.0,1307.5,-83.5,3.1235719693851567,3.1232178446997367,3.123929808496198,3.1235732075270306,0.0002906593213301815,30.47576040583834,30.46539631400405,30.486235594341238,30.47579743806121,0.008507640870894393,0.91764660944071,0.9173345393363048,0.9179620247440502,0.9176477245070216,0.0002561710584264676,17.77,0.01,214.0,3.3679224633324516,3.38963377993866,3.330621769444745,3.3627260042386187,0.024370155737006096,38.2020134988575,38.94559445122136,36.94672507993433,38.031444343337725,0.8249000216100542,19.99,2.24,1054.375,1117.0,63.0,281.35090550991663,991.75,rw,1
6,3.0,1900-01-01 05:29:41,1900-01-01 05:29:39,1377.0,1563.0,1470.0,-93.0,3.125194964968792,3.125871308852694,3.1258353444532827,3.125633872758256,0.0003107017811833572,30.52329034568378,30.543111869509477,30.542057649491007,30.53615328822808,0.00910565074135915,0.9190777694040796,0.9196746094464732,0.9196428661392458,0.9194650816632662,0.0002741775567955492,17.69,0.01,240.0,3.369051613334872,3.3881895256897336,3.3742491231169214,3.377163420713842,0.00808021328877553,38.24044989490618,38.89583387400377,38.417706212225625,38.51799666037852,0.2767979654398741,19.31,1.35,1176.25,1246.0,70.0,324.07515042810667,1106.5,rw,1
7,4.0,1900-01-01 05:30:09,1900-01-01 05:30:09,1549.0,1796.0,1672.5,-123.5,3.1262096976764173,3.1267701467948616,3.127133464073015,3.1267044361814316,0.00037997763303363927,30.553032207463414,30.5694672757368,30.580124636871343,30.56754137335718,0.011143959732750652,0.9199733178090116,0.9204681892896952,0.9207890899392759,0.9204101990126609,0.0003355524760767589,18.13,0.04,291.0,3.370430999297685,3.3883418752226904,3.3755081021050413,3.3780936588751387,0.007537183247464297,38.28743932588928,38.901080949353215,38.460724790700326,38.54974835531427,0.25830589979621194,19.8,1.52,1328.125,1420.75,93.0,380.63407727271345,1235.5,rw,1
12,9.0,1900-01-01 05:32:49,1900-01-01 05:32:49,1648.0,1820.0,1734.0,-86.0,3.1238264517134766,3.1245470990803015,3.12492583100704,3.12443312726694,0.00045599772547622264,30.48320973732311,30.50431146626823,30.515405256856194,30.500975486815854,0.013353761983832091,0.9178709140581688,0.9185063019783376,0.9188403438261314,0.918405853287546,0.0004020911781875196,19.15,0.03,259.0,3.3593958837934745,3.378113606083064,3.3632076761255325,3.36690572200069,0.008076506645764972,37.912598987564365,38.54985532030096,38.04179988916096,38.168084732342095,0.2750573329522201,20.85,1.58,1374.25,1438.75,64.0,390.38659444837504,1309.75,rw,1
13,10.0,1900-01-01 05:33:11,1900-01-01 05:33:11,1776.0,1886.0,1831.0,-55.0,3.1236070048471074,3.124662175749147,3.1247158379110878,3.124328339502448,0.0005105308809802641,30.476785909009855,30.50768200003622,30.50925382079181,30.497907243279293,0.014948817703816038,0.9176774880634508,0.918607791123908,0.9186551197538686,0.9183134663137424,0.00045011942929002634,19.57,0.04,238.0,3.358269453136474,3.3769433801927606,3.3620173723707283,3.365743401899988,0.008066034133557106,37.874474636713856,38.509806566720655,38.00142301305613,38.128568072163546,0.2745129807047586,21.21,1.66,1447.0,1488.25,41.0,412.4016125089717,1405.75,rw,1
14,11.0,1900-01-01 05:33:27,1900-01-01 05:33:27,1893.0,1982.0,1937.5,-44.5,3.124181552724201,3.1246142106285215,3.1250888454528587,3.124628202935194,0.00037053282567425333,30.493606456818057,30.50627709726353,30.52018109312912,30.5066882157369,0.010852943919067907,0.9181839666044151,0.9185654885119704,0.9189841476198588,0.9185778675787478,0.00032678978496873955,19.9,0.05,238.0,3.357778988111109,3.3766962207479545,3.361406896821296,3.365294035226786,0.008197471414882097,37.857882705151134,38.50135155454568,37.9807258617812,38.113320040492674,0.2789252614428141,21.54,1.76,1526.875,1560.25,33.0,439.33513777212266,1493.5,wd,0
15,12.0,1900-01-01 05:34:00,1900-01-01 05:34:00,1906.0,2008.0,1957.0,-51.0,3.1235647913904794,3.1249264262000365,3.1246262349619927,3.1243724841841694,0.0005841258035637747,30.47555030565936,30.51542269332663,30.506629287040262,30.499200762008748,0.017104367135913068,0.9176402831763502,0.9188408688505364,0.9185760931941896,0.918352415073692,0.000515024540811638,20.07,0.05,247.0,3.357867432709117,3.3750630994708746,3.360820726845142,3.3645837530083784,0.007507463543001723,37.86087433749993,38.44551564254467,37.96085982373854,38.089083267927705,0.25531980288898504,21.66,1.76,1541.5,1579.75,38.0,444.79936207238427,1503.25,wd,0
16,13.0,1900-01-01 05:34:16,1900-01-01 05:34:16,2028.0,2008.0,2018.0,10.0,3.1244187039311284,3.1253790536343824,3.1253616218432305,3.1250531264695804,0.00044866092230668467,30.500551134396357,30.528684559014806,30.528173740957783,30.519136478122977,0.013143477085599316,0.91839307573733,0.9192401929665404,0.9192248118750822,0.9189526935263176,0.0003957593518011642,20.09,0.05,212.0,3.3583652488593443,3.374976047460044,3.360976747097652,3.364772681139013,0.0072932157504093644,37.87771587410445,38.44254087760764,37.966146869704524,38.09546787380554,0.2480588138887848,21.81,1.8,1587.25,1579.75,8.0,459.1330832394895,1594.75,wd,0
17,14.0,1900-01-01 05:34:45,1900-01-01 05:34:45,2044.0,2070.0,2057.0,-13.0,3.123601815414315,3.125033560136566,3.124677053438279,3.12443747632972,0.0006085617638512223,30.476634010609192,30.518561342684897,30.50811777767666,30.501104376990252,0.01782070211182809,0.9176729142956268,0.9189353757932176,0.9186209126955732,0.9184097342614724,0.0005365938914403519,20.46,0.05,219.0,3.356723600722188,3.3737901989039445,3.3599978342939942,3.3635038779733755,0.007395334118468803,37.82219645967382,38.4020330205393,37.93298265018371,38.05240404346561,0.2513280873136673,22.02,1.84,1616.5,1626.25,10.0,469.33034474664004,1606.75,rw,1
19,16.0,1900-01-01 05:35:34,1900-01-01 05:35:35,2114.0,2094.0,2104.0,10.0,3.1225425340020223,3.1234007796959213,3.123832449950709,3.123258587882884,0.0005361185642747411,30.445638652928878,30.470749940178735,30.483385335306078,30.46659130947123,0.01568807752493274,0.9167396222463072,0.9174957407909036,0.917876201437107,0.9173705214914392,0.00047237906315339873,21.05,0.05,220.0,3.3483851495041366,3.367244011470524,3.3529949774249266,3.3562080461331965,0.008027329425566708,37.54103322452777,38.1789313109055,37.696298576710575,37.80542103738128,0.2716115801633087,22.75,1.9,1651.75,1644.25,8.0,481.5359209082953,1659.25,rw,1
20,17.0,1900-01-01 05:35:51,1900-01-01 05:35:51,2192.0,2223.0,2207.5,-15.5,3.123751526210947,3.1255917218101685,3.125786651525302,3.1250432998488065,0.0009168819433494725,30.48101635520413,30.534917007627282,30.540630358335463,30.51885457372229,0.026857136600285388,0.9178048697778,0.9194278563836822,0.9195998893973328,0.9189442051862716,0.0008086872981131277,20.87,0.08,236.0,3.3474497721128214,3.3632946425218924,3.3532331729338214,3.3546591958561787,0.006546761825583656,37.50958054782847,38.04475103947474,37.704332940289675,37.75288817586429,0.22116369798335336,23.17,1.96,1729.375,1741.0,12.0,508.58125656698166,1717.75,bdg,2
21,18.0,1900-01-01 05:36:09,1900-01-01 05:36:09,2243.0,2257.0,2250.0,-7.0,3.125304497297415,3.127744178784652,3.1268815821120106,3.1266434193980257,0.0010101328455673006,30.52649981352536,30.598044607095453,30.57273579839219,30.565760073004327,0.02962161294575369,0.9191744087411696,0.9213286728634902,0.9205666068088206,0.9203565628044936,0.0008919276278543613,20.51,0.09,232.0,3.346250061093037,3.362503639260916,3.3510338120829557,3.3532625041456363,0.006820068525927822,37.46926520263818,38.017914456645705,37.63019161052043,37.705790423268105,0.2302757569341509,23.41,2.01,1761.25,1766.5,5.0,519.5397753059914,1756.0,bdg,2
22,19.0,1900-01-01 05:36:34,1900-01-01 05:36:34,2418.0,2432.0,2425.0,-7.0,3.1271051085768247,3.1278816452646234,3.1282143538731466,3.1277337025715317,0.00046477346609758515,30.57929278231029,30.602079198910516,30.611845545002232,30.597739175407682,0.013639341204114324,0.92076404221258,0.9214501572645444,0.9217442288236568,0.9213194761002602,0.0004106901696392832,20.88,0.11,250.0,3.3473724337325472,3.361857525847442,3.352092490449679,3.3537741500098885,0.006031885142119666,37.506980780799644,37.99600295788598,37.6658679354652,37.72295055805028,0.20368192813216596,23.85,2.15,1892.5,1897.75,5.0,565.152026007162,1887.25,bdg,2
25,22.0,1900-01-01 05:37:35,1900-01-01 05:37:35,2559.0,2536.0,2547.5,11.5,3.1233026433793776,3.1285172769096308,3.1254339780202782,3.1257512994364287,0.002140657278278515,30.467877884922892,30.62073937082046,30.530294090553202,30.539637115432182,0.06275416349066792,0.9174092611844044,0.922012028182832,0.9192886570947304,0.9195699821539888,0.0018895720595200891,22.07,0.15,266.0,3.3365915670157125,3.350928755464645,3.3382940186288415,3.341938113703067,0.006395222948292139,37.145751021906655,37.62665254440354,37.20263941961453,37.32501432864157,0.21455113198565684,25.21,2.28,1984.375,1975.75,9.0,597.133324334901,1993.0,bdg,2
29,26.0,1900-01-01 05:39:04,1900-01-01 05:39:05,2706.0,2657.0,2681.5,24.5,3.117805135738893,3.1152239602828407,3.1178930705212817,3.1169740555143384,0.0012380248034596895,30.30727602057305,30.232065754786092,30.309840458155232,30.28306074450479,0.03607409797750544,0.9125734259393466,0.9103087918670394,0.9126506429610409,0.9118442869224758,0.0010862164965487117,25.67,0.09,293.0,3.3104281853337176,3.323884294470312,3.3160491794784437,3.3167872197608252,0.005518166716570408,36.27876654467555,36.72296107463953,36.463880831449934,36.48853615025501,0.18217776789263607,27.9,2.4,2084.875,2066.5,18.0,632.2597791108097,2103.25,bdg,2
32,29.0,1900-01-01 05:40:07,1900-01-01 05:40:08,2745.0,2734.0,2739.5,5.5,3.1139769105307664,3.1124428893316587,3.1158571778899486,3.1140923259174578,0.0013962645698275546,30.19577385350801,30.15117030301095,30.250504911698943,30.19914968940597,0.040623378505539036,0.9092160171597148,0.9078729728406364,0.9108640078681068,0.9093176659561526,0.0012231985372379488,26.94,0.08,279.0,3.3027904984880765,3.307405563836987,3.304421685460748,3.3048725825952707,0.001910879067012523,36.028242697464655,36.179483116212936,36.08165010834526,36.09645864067429,0.06262526400792638,29.24,2.4,2128.375,2124.25,4.0,647.1395267106236,2132.5,bdg,2
