,dt_xrd,dt_temp,temp_us,temp_ds,exp_t,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
7,2019-07-01 10:08:37.630,2019-07-01 10:08:49.427,1650.0,1619.0,5.0,1634.5,15.5,3.1097525497522795,3.1096123376016367,3.1100847191009926,3.1100041077663407,3.1096867744997474,3.1098280977442,0.00018388379280445119,30.07305148065299,30.068983873624436,30.082689301815194,30.080350192337903,30.071143270254588,30.07524362373702,0.00533512935875224,0.9055207600815236,0.9053982815691392,0.9058109616644904,0.9057405294307296,0.9054633025225036,0.9055867670536774,0.00016064450244358458,23.92,0.05,179.0,3.3333326197548163,3.3376963222787683,3.3309065606985326,3.3360190632001383,3.3344886414830635,0.0025883921506562307,37.03701325109153,37.18266044166269,36.9562034938394,37.12663351675226,37.07562767583648,0.08632904756219874,23.34,1.35,1299.625,1288.0,12.0,359.4099567781198,1311.25,bdg,2
8,2019-07-01 10:09:06.193,2019-07-01 10:09:16.376,1770.0,1755.0,5.0,1762.5,7.5,3.1104104854529493,3.110791216657871,3.1106907363518466,3.110774960230514,3.1113506891534537,3.1108036175693266,0.0003057964597633728,30.092143341206786,30.10319502120716,30.100278065034548,30.102723082258212,30.1194400254374,30.103555907028817,0.008878287673581614,0.9060956294489092,0.9064284033172529,0.9063405717125272,0.9064141929031206,0.9069175518357384,0.9064392698435098,0.00026733149469643523,24.07,0.03,184.0,3.335075908553197,3.3376963222787683,3.3309065606985326,3.3379859142042414,3.3354161764336845,0.002839675755852358,37.09515324867457,37.18266044166269,36.9562034938394,37.192339631867036,37.10658920401093,0.09471881013508417,23.62,1.47,1395.625,1390.0,6.0,392.5696842998069,1401.25,bdg,2
9,2019-07-01 10:09:43.211,2019-07-01 10:09:45.687,1856.0,1848.0,5.0,1852.0,4.0,3.1111037895632707,3.1114764240774573,3.111346127618254,3.111547101484076,3.1113506891534537,3.1113648263793015,0.00015124019584546508,30.112270257668094,30.12309170497283,30.119307551764546,30.125144496065012,30.1194400254374,30.119850807181567,0.004392155723646161,0.9067016650786448,0.9070275064783732,0.9069135629601494,0.9070893174639092,0.9069175518357384,0.906929920763363,0.00013225090216839524,24.23,0.03,189.0,3.337250636055342,3.3403032849268968,3.3342504010138816,3.3382152218947887,3.3375048859727268,0.0021789865302881987,37.16776730715551,37.26985489767644,37.06761437062454,37.20000510046074,37.176310418979305,0.07280079517560338,23.68,1.55,1462.75,1459.75,3.0,415.8376343297945,1465.75,bdg,2
10,2019-07-01 10:10:01.758,2019-07-01 10:10:04.114,1914.0,1942.0,5.0,1928.0,-14.0,3.1119367713647414,3.1117804633018427,3.112119823690712,3.1121345386398427,3.1113506891534537,3.1118644572301184,0.00028788815457669794,30.136463943823088,30.131923039511896,30.141782375460192,30.142209933121833,30.1194400254374,30.134363863470888,0.008362822846829456,0.907430154008022,0.9072934241811212,0.9075902957303068,0.9076031697926212,0.9069175518357384,0.907366919109562,0.00025181048572869207,24.35,0.02,207.0,3.3383461789622615,3.3428249512357056,3.335391896895044,3.338720984485507,3.338821002894629,0.002646971463923976,37.204383303513545,37.35432606366104,37.105698207990315,37.21691583301172,37.22033085204416,0.08854567532939986,23.77,1.63,1519.75,1530.25,10.0,435.7343951594825,1509.25,bdg,2
11,2019-07-01 10:10:25.782,2019-07-01 10:10:27.343,1995.0,2019.0,5.0,2007.0,-12.0,3.112794089799676,3.1123323998201182,3.112799945567314,3.1129970463242125,3.1113506891534537,3.1124548341329548,0.000593686224632764,30.16137800839737,30.14795938161859,30.16154822687161,30.167278026912204,30.1194400254374,30.15152073384743,0.017250297646239417,0.9081803340389556,0.9077762897361088,0.908185459437097,0.9083579877517316,0.9069175518357384,0.9078835245599264,0.0005194186112541132,24.46,0.01,213.0,3.3387875747054383,3.3479377355027284,3.3373018179059577,3.339142042061303,3.340792292543857,0.0041827917872861355,37.21914273252017,37.52598644326276,37.169477407321686,37.23099826826577,37.286401212842605,0.14023680720128145,23.81,1.73,1579.0,1588.0,9.0,456.286543741978,1570.0,bdg,2
13,2019-07-01 10:10:59.399,2019-07-01 10:11:00.872,2099.0,2174.0,5.0,2136.5,-37.5,3.113431206923708,3.1136177947781074,3.1143280978395533,3.114183859661817,3.114065994412156,3.113925390723068,0.0003428065064309921,30.179901813634896,30.18532818110768,30.20599123999799,30.201794519022304,30.19836542733923,30.19427623622041,0.009971750987380486,0.9087380988606956,0.9089014906070104,0.90952366986288,0.9093973036386144,0.9092940512729794,0.9091709228484359,0.00030025644518464934,24.46,0.01,251.0,3.33852881427744,3.3469717570691286,3.3387726713512187,3.33836510617138,3.340659587217292,0.0036472173062257257,37.21048980563806,37.49351376442036,37.21864432921105,37.205016113082316,37.28191600308796,0.1222622305549688,24.18,1.84,1676.125,1704.25,28.0,490.7372930410425,1648.0,bdg,2
14,2019-07-01 10:11:15.623,2019-07-01 10:11:17.157,2114.0,2191.0,5.0,2152.5,-38.5,3.1140064670259435,3.1137068058236625,3.1143280978395533,3.114481759058769,3.1146302757520195,3.11423068109999,0.0003337434058105794,30.196633676564808,30.187917038774014,30.20599123999799,30.21046255931087,30.214784599675433,30.203157822864622,0.00970994697047531,0.9092419070375154,0.9089794429346371,0.90952366986288,0.909658304436474,0.9097884441157992,0.9094383536774612,0.0002923733418510511,24.41,0.01,254.0,3.3389657273077518,3.3486945456176924,3.3397906797916033,3.3394263716245134,3.3417193310853905,0.004037737932249767,37.22510092015112,37.55144073968089,37.25269916146624,37.24050979077064,37.31743765301722,0.13545523714740312,24.14,1.87,1688.125,1717.0,29.0,494.9573726910732,1659.25,bdg,2
15,2019-07-01 10:11:27.460,2019-07-01 10:11:29.078,2218.0,2277.0,5.0,2247.5,-29.5,3.114712235296502,3.1154427918112657,3.1143280978395533,3.1154843906661465,3.1153501844842197,3.115063540019537,0.0004620394887756621,30.217169911826538,30.238437233029,30.20599123999799,30.239648522635907,30.235740777538233,30.22739753700553,0.013449201226612044,0.9098602675446084,0.9105006415642696,0.90952366986288,0.9105371143474268,0.9104194493903696,0.9101682285419108,0.0004049649210040089,24.51,0.02,254.0,3.339258113833575,3.34655792681229,3.338891075856268,3.3396843018534397,3.3410978545888934,0.0031648474861418925,37.2348809585959,37.47960803124322,37.22260417782475,37.24913959188375,37.29655818988691,0.10610024106590428,24.45,1.94,1759.375,1781.5,22.0,519.3303568358489,1737.25,bdg,2
16,2019-07-01 10:11:40.799,2019-07-01 10:11:42.333,2212.0,2320.0,5.0,2266.0,-54.0,3.1147864768573417,3.1143435793865604,3.1143280978395533,3.115268171841603,3.1151130057636065,3.1147678663377327,0.0003855357106319483,30.219330711760954,30.20644171064518,30.20599123999799,30.233352942228798,30.228835555391637,30.218790432004923,0.011221170574770144,0.9099253307524526,0.9095372338513268,0.90952366986288,0.910347549987486,0.9102115282882912,0.9099090625484874,0.0003378773489084201,24.69,0.03,281.0,3.3389628837486645,3.3461237116012783,3.338454423823412,3.3398536379492563,3.3408486642806525,0.003086452543654521,37.225005814337656,37.46502100949052,37.208002443354566,37.25480594516397,37.28820880308668,0.10344803668881697,24.53,1.96,1773.25,1813.75,40.0,525.2111176707897,1732.75,bdg,2
17,2019-07-01 10:11:57.551,2019-07-01 10:11:59.017,2263.0,2270.0,5.0,2266.5,-3.5,3.1147979284405665,3.1154561600373074,3.1143280978395533,3.1156155394829903,3.1163399668825797,3.1153075385365985,0.0006930898573840622,30.219664019153477,30.238826490055022,30.20599123999799,30.24346757024909,30.26456865692117,30.23450359527535,0.02017977017367728,0.9099353668727848,0.9105123623674716,0.90952366986288,0.9106521085607578,0.9112874771416328,0.9103821969611054,0.0006076270922388943,24.5,0.03,230.0,3.340127770124524,3.345796783969362,3.338533356165056,3.3400826638564727,3.3411351435288537,0.002766889215324905,37.26398022078404,37.45404070363142,37.21064167441215,37.26247056322216,37.29778329051245,0.09273574909783512,24.5,1.95,1773.625,1776.25,3.0,523.824609990071,1771.0,bdg,2
18,2019-07-01 10:12:10.360,2019-07-01 10:12:11.874,2311.0,2366.0,5.0,2338.5,-27.5,3.114899213828232,3.1145135334589127,3.1143280978395533,3.1156647725532665,3.1155361437560654,3.114988352287205,0.0005342198779357401,30.222612117219416,30.211387203466852,30.20599123999799,30.244901318034486,30.241155531867896,30.22520948211733,0.01555112488598674,0.9100241361818516,0.9096861461232236,0.90952366986288,0.9106952797163432,0.910582491456766,0.9101023446682128,0.00046825532274103837,24.92,0.03,261.0,3.341405576293176,3.350883289632946,3.3387553853653067,3.340180410627067,3.342806165479624,0.004756705602032967,37.306763939425416,37.62512099542215,37.21806625065288,37.26574209251071,37.35392331950278,0.15969131042707135,24.56,2.05,1827.625,1848.25,21.0,542.9883949323871,1807.0,bdg,2
19,2019-07-01 10:12:23.838,2019-07-01 10:12:25.321,2387.0,2301.0,5.0,2344.0,43.0,3.115552122688468,3.115673853903194,3.1143280978395533,3.1158456065731763,3.1162997272775885,3.1155398816563964,0.0006568639916035423,30.24162083591452,30.245165786794477,30.20599123999799,30.250167890274373,30.26339630225921,30.241268411048107,0.01912399978165196,0.9105965020893168,0.9107032430569678,0.90952366986288,0.910853859915654,0.9112521767170896,0.9105858903283816,0.0005758371021717801,24.74,0.04,277.0,3.3410575427286404,3.3517662287730894,3.338663195123305,3.3410084273295833,3.3431238484886547,0.005082636904223638,37.295107778507784,37.65487086434684,37.214983322377435,37.293463026374475,37.364606247901634,0.1706838910236207,24.54,2.07,1831.75,1799.5,32.0,544.9560928414325,1864.0,bdg,2
20,2019-07-01 10:12:35.943,2019-07-01 10:12:37.583,2379.0,2365.0,5.0,2372.0,7.0,3.1148235634356536,3.1163493935365243,3.1143280978395533,3.115671034686456,3.1158261412422923,3.1153996461480964,0.0007263135652138756,30.220410154856825,30.26484330071633,30.20599123999799,30.24508368487576,30.249600956680972,30.23718586742557,0.021146975625196823,0.9099578335443048,0.9112957468597326,0.90952366986288,0.9107007709103722,0.9108367891458736,0.9104629620646326,0.0006367503295724092,24.91,0.04,244.0,3.3410009119905366,3.3553981875810552,3.3385928778454885,3.340795539812779,3.343946879307465,0.006678462713731563,37.29321136069226,37.777411499003726,37.212631961020726,37.286334513803396,37.39239733363003,0.22452097658401085,24.55,2.12,1852.75,1847.5,5.0,551.3369098155863,1858.0,bdg,2
22,2019-07-01 10:13:02.959,2019-07-01 10:13:04.401,2299.0,2453.0,5.0,2376.0,-77.0,3.1157030536112544,3.117540402962952,3.1143280978395533,3.1171480445624216,3.1164608630758712,3.1162360924104098,0.001140874948529233,30.246016156566235,30.299556505348647,30.20599123999799,30.2881178827308,30.268091070835823,30.2615545710959,0.0332301322585522,0.910728848289698,0.9123409858992012,0.90952366986288,0.9119965609161274,0.9113935395053868,0.9111967208946586,0.0010005826857887546,24.63,0.06,315.0,3.3429040741631115,3.3475831430973684,3.340227055195317,3.3421538302995057,3.3432170256888254,0.002703295575337221,37.356978598834345,37.514064160146056,37.26730332739403,37.331832300488365,37.3675445967157,0.0906963380684394,24.62,2.07,1855.75,1913.5,58.0,555.3936830078283,1798.0,bdg,2
23,2019-07-01 10:13:26.220,2019-07-01 10:13:27.825,2597.0,2275.0,5.0,2436.0,161.0,3.1166987651631635,3.1154897515654363,3.1176954646683974,3.1159594274901066,3.1173467057526194,3.1166380229279445,0.0008249997442172514,30.27502334953309,30.239804625477934,30.304077891430786,30.253483100389087,30.29390919287838,30.27325963194186,0.024040086698258075,0.911602275299261,0.9105418147139414,0.9124771280184788,0.9109536832270606,0.912170941343404,0.9115491685204292,0.0007238639415570145,24.74,0.08,405.0,3.3429417877774537,3.3497576837049903,3.3418150652306675,3.3426189428339956,3.3442833698867767,0.0031871146679141138,37.35824296288464,37.587217406231254,37.32048144154852,37.347420379792645,37.403340547614256,0.107048105903967,24.7,2.17,1900.75,1780.0,121.0,580.742686673711,2021.5,bdg,2
