,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
14,18.0,1900-01-01 14:14:52,1900-01-01 14:14:59,1437.0,1412.0,1424.5,12.5,3.1284407200368083,3.1289727388079847,3.1296167190872803,3.1300678825462014,3.129274515119569,0.0006190352597848942,30.61849149700875,30.63411498234339,30.65303348505321,30.666292158820447,30.64298303080645,0.01818519033888588,0.9219443431192176,0.9224147772660298,0.9229844267066399,0.9233836547116571,0.922681800450886,0.0005475688886606635,16.28,0.02,155.0,3.379442059300753,3.385888226418754,3.3826651428597536,0.0032230835590005835,38.595352743212814,38.81663213192021,38.70599243756651,0.11063969435370068,18.76,1.15,1142.125,1132.75,9.0,304.73125173052074,1151.5,wd,0
15,19.0,1900-01-01 14:25:58,1900-01-01 14:26:05,1582.0,1585.0,1583.5,-1.5,3.1276997363069787,3.127827338525424,3.128736904294068,3.1290591366136504,3.1283307789350294,0.000580325288028363,30.596740312196946,30.60048527324275,30.627188711927555,30.636652677890467,30.61526674381443,0.017038280728510408,0.9212893996255008,0.9214021630401096,0.9222062223857408,0.9224911890662132,0.9218472435293912,0.0005130346325409737,17.22,0.02,160.0,3.3802447659402164,3.3856236085960902,3.3829341872681526,0.002689421327936925,38.62286151952798,38.80753191721471,38.71519671837135,0.09233519884336516,19.18,1.3,1261.375,1262.5,1.0,345.9424584107161,1260.25,wd,0
18,22.0,1900-01-01 14:37:24,1900-01-01 14:37:31,1808.0,1765.0,1786.5,21.5,3.129918497475177,3.1311043124363054,3.130790384972,3.1309792490897306,3.130698110993303,0.00046377525978340305,30.661901646117748,30.69676496802937,30.68753283410221,30.693086821501808,30.684821567437787,0.013634817588406359,0.9232514532820062,0.92430121245848,0.92402322640388,0.9241904608760716,0.9239415882551094,0.000410553960384423,17.24,0.06,200.0,3.3900984385599315,3.387395390491562,3.3887469145257474,0.0013515240341848145,38.96161289587355,38.86849067671992,38.915051786296736,0.04656110957681392,19.31,1.48,1413.625,1397.5,16.0,399.09287394195604,1429.75,wd,0
19,23.0,1900-01-01 14:37:54,1900-01-01 14:38:01,1961.0,1880.0,1920.5,40.5,3.1307044701528635,3.131840081292346,3.132416452892636,3.1325969042006223,3.1318894771346173,0.0007390598756690554,30.685006531323623,30.718410077062426,30.735373086648483,30.740685175130825,30.719868717541342,0.021744022327473224,0.9239471576479794,0.9249529619357906,0.92546373010122,0.9256236808266476,0.9249968826279096,0.0006547278262689287,17.39,0.08,233.0,3.3896285774231534,3.3890903571581745,3.389359467290664,0.0002691101324889811,38.94541512676222,38.926866294907214,38.93614071083472,0.009274415927500002,19.63,1.61,1514.125,1483.75,30.0,434.70264064214064,1544.5,wd,0
20,24.0,1900-01-01 14:38:21,1900-01-01 14:38:29,2049.0,1972.0,2010.5,38.5,3.132536160879288,3.133147480053456,3.1344396587721715,3.1342450683712206,3.1335920920190343,0.000783807675606694,30.738896957399483,30.75689669645019,30.79496684883589,30.78923182096216,30.769998080911932,0.023088429388501305,0.925569836331342,0.926111821151105,0.927258140251676,0.9270854545233036,0.9265063130643568,0.0006952088697222852,17.19,0.1,240.0,3.390338987084584,3.391472353426926,3.3909056702557545,0.0005666831711712561,38.969907189120704,39.00900234842087,38.98945476877078,0.019547579650080138,19.77,1.7,1581.625,1552.75,29.0,458.028538446296,1610.5,wd,0
21,25.0,1900-01-01 14:38:52,1900-01-01 14:38:58,2071.0,2003.0,2037.0,34.0,3.13392617011904,3.135726407756538,3.1351893985234813,3.1361447741250585,3.135246687631029,0.0008342270810293092,30.779834693721682,30.83290823472199,30.817070066291393,30.845250994851842,30.818765997396728,0.02459664893290556,0.9268025004038368,0.9284005821022552,0.9279236836962256,0.9287722313025858,0.927974749376226,0.000740622422420679,16.76,0.12,238.0,3.3879320983230823,3.3898983151517528,3.3889152067374173,0.0009831084143352429,38.88696888170369,38.95471338782117,38.92084113476242,0.03387225305874253,19.99,1.72,1601.5,1576.0,26.0,464.74108114088637,1627.0,wd,0
23,27.0,1900-01-01 14:40:13,1900-01-01 14:40:19,2149.0,2063.0,2106.0,43.0,3.1361782474758195,3.1363912821285895,3.1382445629488314,3.1387973875684403,3.1374028700304204,0.0011375562202714682,30.84623867718205,30.85252508402621,30.90724930142944,30.92358578959621,30.882399713058483,0.0335928151479237,0.9288019711131584,0.9289912592506578,0.9306390439781148,0.93113094714236,0.9298908053710726,0.0010115033230198279,16.35,0.15,254.0,3.3874549658949955,3.39319981961302,3.390327392754007,0.0028724268590123447,38.87054149731065,39.06864110274611,38.969591300028384,0.09904980271773313,20.08,1.8,1653.25,1621.0,32.0,483.05167231363566,1685.5,wd,0
24,28.0,1900-01-01 14:41:20,1900-01-01 14:41:27,2324.0,2215.0,2269.5,54.5,3.1367829385162453,3.1360047006685234,3.1366184633327343,3.1372778716786267,3.1366709935490316,0.0004548456788033629,30.864084640634232,30.84111814232525,30.859229880283106,30.87869649267289,30.86078228897887,0.013424910212176464,0.9293393256413476,0.9286477882023044,0.9291931453880404,0.9297792987971399,0.929239889507208,0.000404233501451524,17.27,0.17,281.0,3.3871537215028935,3.3915780847618726,3.3893659031323837,0.0022121816294893293,38.86017221582571,39.01265085448065,38.93641153515319,0.07623931932746686,20.6,1.95,1775.875,1735.0,41.0,526.1976442186433,1816.75,wd,0
36,41.0,1900-01-01 14:50:23,1900-01-01 14:50:30,2118.0,2078.0,2098.0,20.0,3.1261960360129946,3.1276548036897003,3.1277396581424046,3.1254411694337656,3.126757916819716,0.0009769539141629149,30.55263165523673,30.59542167039485,30.59791193389205,30.530504835501365,30.56911752375625,0.02865200577867582,0.9199612568993631,0.9212496943921401,0.921324677979896,0.9192950027735444,0.9204576580112358,0.0008627320731738059,19.84,0.07,230.0,3.3410745943234774,3.3545161779032897,3.347795386113384,0.006720791789906365,37.295678805170496,37.74762849009205,37.52165364763128,0.2259748424607721,23.45,1.87,1647.25,1632.25,15.0,480.1404879043216,1662.25,bdg,2
37,42.0,1900-01-01 14:53:57,1900-01-01 14:54:06,2224.0,2121.0,2172.5,51.5,3.122926175333661,3.1248074133436985,3.123427735871835,3.124046908070955,3.1238020581550376,0.0007032031045820253,30.456861853578864,30.511936285511702,30.471538870619334,30.489664025127606,30.48250025870938,0.020586883382987062,0.91707756072221,0.9187358906558044,0.9175194960421018,0.9180652572096201,0.9178495511574342,0.0006198855576949332,21.15,0.07,269.0,3.3329509312598233,3.33326136172652,3.333106146493172,0.0001552152333479384,37.02429176351093,37.03463803527533,37.02946489939313,0.005173135882202472,24.96,1.85,1703.125,1664.5,39.0,500.8395334648114,1741.75,bdg,2
