,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
5,386.0,1900-01-01 00:54:19,1900-01-01 00:54:30,978.0,1070.0,1024.0,-46.0,3.112259770454449,3.1148354989931764,3.113547634723812,0.00128786426936367,30.145848833205267,30.220757557030854,30.18330319511806,0.03745436191279694,0.907712739636956,0.9099682940684352,0.9088405168526956,0.0011277772157395893,20.23,0.07,148.0,3.3388779664239467,3.3418209953544635,3.3432739105539433,3.3413242907774507,0.0018286821805388856,37.22216574007699,37.320680119928525,37.36937874409103,37.30407486803218,0.0612357081590755,21.04,0.77,841.75,876.25,34.0,203.60867644823003,807.25,rw,1
6,387.0,1900-01-01 00:55:09,1900-01-01 00:55:16,1311.0,1430.0,1370.5,-59.5,3.1141494544347585,3.116072137082622,3.1151107957586905,0.0009613413239317748,30.200793529840226,30.25676618013417,30.2287798549872,0.02798632514697452,0.9093671631493604,0.9110525390704092,0.9102098511098848,0.0008426879605244464,20.98,0.05,197.0,3.3391190898730154,3.3457190693840797,3.343484968793512,3.342774376016869,0.002740880510259243,37.23023053182522,37.45143087002232,37.37645648891874,37.35270596358875,0.09185300936719697,21.87,1.11,1101.625,1146.25,45.0,294.03153237578107,1057.0,rw,1
7,388.0,1900-01-01 00:55:42,1900-01-01 00:55:53,1361.0,1439.0,1400.0,-39.0,3.1168095232133384,3.1189221125952,3.1178658179042684,0.001056294690930715,30.27825111259775,30.33986111212197,30.309056112359862,0.030804999762112924,0.9116994655184029,0.913554585995076,0.9126270257567396,0.0009275602383365114,20.12,0.03,179.0,3.3400484358574523,3.3522890737106668,3.3446118964611915,3.3456498020097705,0.005050824335968318,37.26132501666154,37.67249506172575,37.414262635862016,37.449360904749774,0.1696842515747289,21.7,1.19,1123.75,1153.0,29.0,299.63845401583563,1094.5,rw,1
8,389.0,1900-01-01 00:57:05,1900-01-01 00:57:02,1521.0,1594.0,1557.5,-36.5,3.1165437035898256,3.1184581791630936,3.11750094137646,0.0009572377866342574,30.27050485780396,30.326324144770012,30.298414501286985,0.02790964348302616,0.911466220330991,0.9131469783742254,0.9123065993526084,0.0008403790216172102,20.86,0.02,192.0,3.3400030805975462,3.3484726472732453,3.3455655506327986,3.3446804261678635,0.003513874775548149,37.25980709783703,37.543976293212815,37.44627571535818,37.41668636880268,0.11788321897062724,22.22,1.3,1241.875,1269.25,27.0,340.25090122033475,1214.5,rw,1
11,392.0,1900-01-01 01:00:21,1900-01-01 01:00:39,1749.0,1868.0,1808.5,-59.5,3.118980372547497,3.121825917299565,3.1204031449235314,0.001422772376034276,30.341561345550748,30.42468184016673,30.38312159285873,0.04156024730799324,0.9136057812210652,0.91610859785447,0.9148571895377676,0.0012514083167024517,20.84,0.01,240.0,3.3409295214805765,3.3522890737106668,3.3478938650074817,3.3470374867329085,0.00467688603873046,37.290820767671306,37.67249506172575,37.52451127063328,37.495942366676786,0.15712193437040345,22.72,1.56,1430.125,1474.75,45.0,406.99535105606554,1385.5,bdg,2
13,394.0,1900-01-01 01:01:44,1900-01-01 01:01:50,1782.0,1899.0,1840.5,-58.5,3.1211949429464454,3.123539550918496,3.1223672469324706,0.0011723039860251914,30.406237524597604,30.4748115237458,30.4405245241717,0.034286999574097976,0.9155532265226288,0.9176180379326201,0.9165856322276243,0.001032405704995576,20.29,0.03,243.0,3.3431075708462483,3.3522890737106668,3.3472558249755098,3.3475508231774755,0.003754132537769085,37.363801245112576,37.67249506172575,37.503061148188465,37.5131191516756,0.1262242466919118,22.76,1.57,1454.125,1498.0,44.0,415.170369584885,1410.25,bdg,2
14,395.0,1900-01-01 01:02:39,1900-01-01 01:02:49,1852.0,1919.0,1885.5,-33.5,3.1215419942282683,3.1227028155943435,3.122122404911305,0.0005804106830373801,30.41638142521787,30.450327260894962,30.43335434305641,0.016972917838547374,0.915858666514502,0.9168807995342824,0.916369733024392,0.0005110665098901347,20.55,0.03,222.0,3.3412802813912577,3.3522890737106668,3.3466969284044437,3.3467554278354563,0.004494511001992078,37.30256734735029,37.67249506172575,37.484278449352935,37.48644695280965,0.15103014107829346,22.95,1.62,1487.875,1513.0,25.0,425.2862104292238,1462.75,bdg,2
17,398.0,1900-01-01 01:03:51,1900-01-01 01:03:57,1805.0,2006.0,1905.5,-100.5,3.123009124161553,3.124007602182884,3.1235083631722187,0.0004992390106652866,30.45928883515391,30.48851320222519,30.473901018689553,0.014612183535639645,0.9171506388467214,0.9180306051215212,0.9175906219841212,0.0004399831373998464,20.16,0.05,291.0,3.344257111051951,3.3522890737106668,3.3474390883496734,3.3479950910374305,0.0033025202779438808,37.402357553710004,37.67249506172575,37.50922140081572,37.52802467208382,0.1110817733834689,22.9,1.64,1502.875,1578.25,75.0,436.2547687776605,1427.5,bdg,2
18,399.0,1900-01-01 01:04:04,1900-01-01 01:04:10,1866.0,1973.0,1919.5,-53.5,3.1210918848636275,3.1223607142366325,3.1217262995501303,0.0006344146865024937,30.403225692460765,30.4403205861666,30.42177313931368,0.018547446852917204,0.9154625381358006,0.9165794915106604,0.9160210148232304,0.0005584766874299207,20.83,0.03,245.0,3.3450820140162896,3.3562805389061636,3.3478117951854984,3.3497247827026517,0.004767695520050826,37.4300416631348,37.80722171530816,37.52175172574525,37.586338368062734,0.16061293786358918,22.79,1.66,1513.375,1553.5,40.0,435.2476933095109,1473.25,bdg,2
19,400.0,1900-01-01 01:05:11,1900-01-01 01:05:18,1844.0,1996.0,1920.0,-76.0,3.121021993621552,3.1222144143736856,3.1216182039976186,0.0005962103760668302,30.401183261444558,30.43604189468262,30.418612578063588,0.017429316619031354,0.9154010390994488,0.9164506570966596,0.9159258480980544,0.0005248089986053528,20.87,0.03,268.0,3.341095861352427,3.3522890737106668,3.3462851349795586,3.3465566900142174,0.004573642408904888,37.296391007164715,37.67249506172575,37.47044342289063,37.47977649726037,0.15368559826738334,23.07,1.67,1513.75,1570.75,57.0,437.26702725565764,1456.75,bdg,2
