exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
46,440,1900-01-01 02:04:53,1900-01-01 02:04:59,1181.0,1435.0,1308.0,-127.0,3.1057738129585326,3.108762396555578,3.1072681047570554,0.0014942917985227846,29.957769253395163,30.04433461568916,30.00105193454216,0.043282681146999735,0.9020495310272468,0.9046560750526054,0.9033528030399262,0.001303272012679213,23.6,0.12,258.0,3.306925948113622,3.3062602550020297,3.3107983630482596,3.3079948553879714,0.002000921159646375,36.163745947798155,36.14191076510832,36.29093816590671,36.19886495960439,0.06571301388038958,24.95,1.09,1054.75,1150.0,95.0,290.31971707929176,959.5,bdg,2
47,441,1900-01-01 02:05:10,1900-01-01 02:05:16,1302.0,1516.0,1409.0,-107.0,3.1079820280178385,3.1102908060447723,3.1091364170313054,0.0011543890134664279,30.021714905084306,30.088669904482398,30.055192404783355,0.03347749969904612,0.9039749796355704,0.9059910418228488,0.9049830107292096,0.0010080310936391725,23.3,0.09,248.0,3.3078551267686613,3.3063123090418163,3.3107983630482596,3.3083219329529125,0.0018609318718362387,36.194238336081035,36.14361785584149,36.29093816590671,36.209598119276414,0.061116067959714436,25.2,1.17,1130.5,1210.75,80.0,311.03464839146136,1050.25,bdg,2
48,442,1900-01-01 02:05:34,1900-01-01 02:05:39,1397.0,1601.0,1499.0,-102.0,3.108486929948872,3.110974510990543,3.109730720469708,0.0012437905208353415,30.03634866193601,30.108516564617048,30.07243261327653,0.036083951340518894,0.9044156123607106,0.906588638737208,0.9055021255489591,0.00108651318824865,23.43,0.08,252.0,3.308598688479287,3.3058521168956245,3.3107983630482596,3.3084163894743903,0.0020234067717597856,36.21865176907463,36.128527907393476,36.29093816590671,36.212705947458275,0.06643687537105664,25.44,1.25,1198.0,1274.5,76.0,332.75973314089555,1121.5,bdg,2
49,443,1900-01-01 02:05:52,1900-01-01 02:05:59,1531.0,1551.0,1541.0,-10.0,3.1104771383172434,3.1141546258443653,3.112315882080804,0.001838743763560968,30.09407791274013,30.200943985945898,30.147510949343015,0.053433036602887896,0.9061538807602679,0.9093716934886664,0.9077627871244672,0.0016089063641991366,22.65,0.05,164.0,3.3099242874435904,3.3068772973381275,3.3107983630482596,3.3091999826099934,0.0016807046527719664,36.26220251390437,36.16214987177857,36.29093816590671,36.23843018386322,0.055199329300263625,25.48,1.25,1229.5,1237.0,8.0,334.98201817411035,1222.0,bdg,2
50,444,1900-01-01 02:06:19,1900-01-01 02:06:26,1714.0,1724.0,1719.0,-5.0,3.1083994781554933,3.112257270479482,3.110328374317488,0.00192889616199432,30.03381367428596,30.145776187784463,30.089794931035208,0.05598125674924859,0.9043392820972141,0.9077105522321725,0.9060249171646932,0.0016856350674792073,24.07,0.05,177.0,3.3092687675543786,3.3059508603166305,3.3107983630482596,3.3086726636397565,0.002023375989291126,36.240661941796425,36.13176540339182,36.29093816590671,36.22112183703165,0.06643469902754111,26.03,1.42,1363.0,1366.75,4.0,381.2213136748784,1359.25,bdg,2
52,446,1900-01-01 02:08:09,1900-01-01 02:08:17,1741.0,1902.0,1821.5,-80.5,3.1138250261621736,3.1141316587063006,3.113978342434237,0.00015331627206349732,30.191355668191328,30.20027578778173,30.19581572798653,0.004460059795199811,0.909082982488168,0.9093515735713412,0.9092172780297546,0.0001342955415867264,23.16,0.02,263.0,3.3105851209856714,3.3073617414722727,3.3107983630482596,3.3095817418354017,0.001572189397736462,36.28392633199367,36.17804502572177,36.29093816590671,36.250969841207386,0.05164502550368144,26.22,1.53,1439.875,1500.25,60.0,412.27423007174485,1379.5,bdg,2
53,447,1900-01-01 02:08:28,1900-01-01 02:08:35,1764.0,1911.0,1837.5,-73.5,3.1127845373398055,3.1130158440383333,3.1129001906890688,0.00011565334926388891,30.161100333940983,30.16782452209094,30.164462428015966,0.003362094074976341,0.9081719730655118,0.9083744431064515,0.9082732080859816,0.00010123502046993638,23.61,0.03,257.0,3.310141750591656,3.306253972361477,3.3168817329356077,3.3110924852962467,0.0043905387721132295,36.269350300500356,36.14170473214184,36.491352455958825,36.30080249620034,0.14446525107758326,26.12,1.6,1451.875,1507.0,55.0,415.7054856280465,1396.75,bdg,2
55,449,1900-01-01 02:09:06,1900-01-01 02:09:13,1747.0,1934.0,1840.5,-93.5,3.120404536708343,3.1228424718764005,3.121623504292372,0.0012189675840288405,30.383143298230795,30.454412923157072,30.418778110693932,0.03563481246313849,0.914857843101807,0.9170038217024652,0.915930832402136,0.0010729893003290636,20.54,0.03,278.0,3.3154960780654688,3.307746388903161,3.3220501886144245,3.3150975518610184,0.005846297340864943,36.445637862958414,36.190669055056574,36.662203870171005,36.43283692939533,0.192715971300282,25.73,1.65,1454.125,1524.25,70.0,418.72477330730027,1384.0,bdg,2
56,450,1900-01-01 02:09:22,1900-01-01 02:09:29,1855.0,2053.0,1954.0,-99.0,3.124617626811553,3.1261219123501545,3.1253697695808538,0.0007521427693006898,30.50637715615058,30.55045845248921,30.528417804319893,0.022040648169312504,0.9185685013555296,0.9198958202340812,0.9192321607948052,0.0006636594392758767,19.72,0.07,294.0,3.3115054732613074,3.309039018098884,3.322471571682967,3.3143386876810523,0.005838304657375966,36.31419585605264,36.23311432791019,36.67615681257219,36.407822332178334,0.19260685099905345,26.12,1.75,1539.25,1613.5,74.0,448.53814567436734,1465.0,bdg,2
57,451,1900-01-01 02:10:17,1900-01-01 02:10:23,1946.0,2186.0,2066.0,-120.0,3.1234518574278947,3.130877702536368,3.127164779982131,0.003712922554236498,30.472244851360692,30.69010052630853,30.58117268883461,0.1089278374739191,0.9175407536194355,0.9241005414245992,0.9208206475220172,0.0032798939025816547,19.56,0.14,327.0,3.314032770466655,3.309638158764705,3.3163276987191974,3.3133328759835186,0.0027754729826742672,36.39740286906479,36.25279919380432,36.47306954809864,36.37442387032258,0.0913811907437976,26.53,1.8,1623.25,1713.25,90.0,480.08016843543953,1533.25,bdg,2
