,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
32,688.0,1900-01-01 07:50:55,1900-01-01 07:51:01,1197.0,1369.0,1283.0,-86.0,3.1097421867006467,3.108970893520131,3.1096088520983294,3.1105647979400217,3.1091087590597994,3.1092026454499666,3.1095330224614823,0.0005352877421436903,30.072750832088452,30.05038001758946,30.068882762539946,30.09662232288657,30.054377895715092,30.05710065243696,30.066685747209416,0.01552978194131444,0.9055117073415032,0.9048381063615092,0.9053952370431742,0.9062304947417672,0.9049584852875178,0.9050404694100098,0.9053290833642471,0.0004676126716454597,22.67,0.09,214.0,3.2975931298870065,3.313662285318676,3.2963328437218307,3.2924272480893366,3.3000038767542126,0.008112422733403983,35.85842489040048,36.38519732613381,35.81732709062434,35.690165491865116,35.93777869975594,0.26566018950600073,25.69,1.32,1036.0,1100.5,64.0,275.38692779433086,971.5,bdg,2
33,690.0,1900-01-01 07:51:34,1900-01-01 07:51:41,1419.0,1661.0,1540.0,-121.0,3.1105492218678346,3.1111084321923257,3.1106451759937674,3.1115942283691345,3.1098147246783907,3.1113581179562777,3.1108449835096224,0.0005891959605744982,30.096170200994,30.11240506542659,30.098955504088245,30.126513325472136,30.074855315949627,30.119655769599067,30.10475919692161,0.017104117878736128,0.9062168810331592,0.906705724235196,0.9063007484709744,0.9071305338814032,0.9055750748327194,0.9069240480443914,0.9064755017496408,0.000515017035502365,23.18,0.07,275.0,3.30098063414322,3.315069974469797,3.298555677922781,3.2954989058213537,3.3025262980892878,0.007498049092384174,35.969046838670906,36.431587819273865,35.889834646780294,35.79014973449531,36.020154759805095,0.24585301785469685,26.15,1.49,1228.75,1319.5,91.0,346.7792210110058,1138.0,bdg,2
34,691.0,1900-01-01 07:52:03,1900-01-01 07:52:14,1682.0,1876.0,1779.0,-97.0,3.1129201787054814,3.112574649321047,3.1141304791363327,3.1138894816627096,3.1115822345979844,3.1125833302285635,3.112946725608687,0.0008585936965069388,30.16504336732297,30.15499966104363,30.200241470037266,30.193230570480786,30.12616495506736,30.15525196679317,30.16582199845753,0.024960187491155267,0.9082907005776624,0.9079882775079599,0.9093505402398858,0.9091394371165687,0.9071200442031636,0.9079958746117736,0.9083141457095024,0.0007515688244443612,23.36,0.04,275.0,3.3007417339885605,3.314537553760708,3.3002975604961984,3.2965210574547776,3.3030244764250614,0.006846393056823929,35.96123789649052,36.41403722438227,35.9467221780054,35.82346272505001,36.03636500598205,0.22452372088802494,26.76,1.65,1408.0,1480.75,73.0,403.4781778485672,1335.25,bdg,2
35,692.0,1900-01-01 07:52:41,1900-01-01 07:52:51,1795.0,1989.0,1892.0,-97.0,3.1144294506067123,3.114366252289741,3.1155822022862343,3.115225125842054,3.1143313473819454,3.116855848166304,3.115131704428832,0.0009040645550195185,30.208940409450392,30.207101438157764,30.242496762110427,30.23209968872767,30.20608579241672,30.279601204153533,30.229387549169417,0.02632598983974821,0.9096124714321476,0.9095570987113666,0.9106228768439771,0.9103098136419197,0.9095265169027998,0.9117401177259972,0.9102281492097012,0.0007926940950746097,23.03,0.01,286.0,3.301455157654524,3.3097971642506043,3.302994223166741,3.2967016336935586,3.302737044691357,0.004689905362760761,35.984560966744176,36.25802454227324,36.03491005488824,35.829350041165796,36.02671140126787,0.15354246376396216,27.1,1.67,1492.75,1565.5,73.0,432.4495208981044,1420.0,bdg,2
36,693.0,1900-01-01 07:53:14,1900-01-01 07:53:22,1827.0,2081.0,1954.0,-127.0,3.115547842955392,3.1164919996745533,3.1165156933897893,3.1165117536448377,3.117616171504098,3.1167400855777325,3.1165705911244004,0.0006028588479881571,30.241496210279557,30.268998306506628,30.269688688974146,30.26957389279069,30.30176575561651,30.27622750161389,30.271291725963568,0.017566927120015646,0.9105927495236759,0.911420857010387,0.91144164491271,0.9114381883187768,0.912407507980708,0.91163853316648,0.9114899134854564,0.000528952547706857,22.77,0.01,322.0,3.307899312679976,3.3094913791302982,3.3015515128651516,3.2966286262966413,3.303892707743017,0.005139213878098153,36.19568878965922,36.24797606538003,35.987711760241794,35.82696970778211,36.06458658076579,0.16821935723999745,27.16,1.75,1539.25,1634.5,95.0,452.47703601950894,1444.0,bdg,2
37,694.0,1900-01-01 07:53:51,1900-01-01 07:54:00,1957.0,2230.0,2093.5,-136.5,3.1116420655398684,3.1132300102841817,3.115185118387401,3.117359507340767,3.116088606441291,3.1172434890324645,3.1151247995043283,0.0020870628750411773,30.12790282797041,30.174051320684338,30.230934931342226,30.294282406169728,30.257245930421888,30.290900158549327,30.229219595856318,0.060738105756482426,0.9071723727802324,0.90856193639754,0.9102747419767226,0.9121821790584552,0.9110669846894532,0.9120803372005384,0.9102230920171568,0.0018288671412644995,23.85,0.02,346.0,3.2991840200506086,3.309063363616064,3.3014522683282816,3.2977990656902696,3.3018746794213056,0.004350456490910115,35.91034852616053,36.233914064987204,35.98446648927256,35.86514342214671,35.99846812564175,0.14245295411998785,27.75,1.86,1643.875,1746.25,102.0,489.4792036248833,1541.5,bdg,2
38,695.0,1900-01-01 07:54:23,1900-01-01 07:54:32,2514.0,2176.0,2345.0,169.0,3.1136733441790847,3.1156809742052425,3.115890591142487,3.115393328712664,3.117405661090352,3.1162843307774986,3.1157213716845544,0.0011169937166828378,30.186943800227784,30.245373146632012,30.25147810643293,30.23699699179603,30.295627982855702,30.26294774327332,30.246561295202962,0.0325252820998454,0.9089501380365728,0.9107094868077166,0.9108933114469538,0.9104572748864048,0.9122226953201392,0.9112386702901112,0.9107452627979828,0.0009793591510946756,24.68,0.06,404.0,3.2969862886939043,3.3089414228349474,3.3004475726018754,3.2974470830718867,3.300955591800653,0.0047983481915055215,35.83863194057073,36.22990849439483,35.95162418017314,35.853660709430144,35.968456331142214,0.15706126362603956,28.54,2.13,1832.5,1705.75,127.0,558.8969605392393,1959.25,bdg,2
40,697.0,1900-01-01 07:55:19,1900-01-01 07:55:31,2536.0,2402.0,2469.0,67.0,3.115257704506292,3.111795432634638,3.119316609553268,3.11631992015458,3.1151231970871303,3.1166166545853233,3.115738253086872,0.0022386608612590736,30.233048190057826,30.13235789373015,30.35137518311745,30.26398460478353,30.229132244003125,30.272630592622047,30.247088118052357,0.0651872413064606,0.9103383736849856,0.9073065179478941,0.9139012827819376,0.9112698909204294,0.9102204617913364,0.9115302277034868,0.9107611258050116,0.0019628337461337774,25.2,0.07,314.0,3.3013017791605166,3.3082244273432866,3.3013547234859786,3.2982027288126163,3.3022709147006,0.003666506485832962,35.979545904207036,36.206362245546096,35.981276988002875,35.8783151233215,36.011375065269384,0.1200457604129652,28.75,2.17,1925.5,1875.25,50.0,578.7639868720238,1975.75,bdg,2
42,699.0,1900-01-01 07:56:36,1900-01-01 07:56:44,2669.0,2492.0,2580.5,88.5,3.1153223200630027,3.1174300615959005,3.1180849223095084,3.115235699612964,3.117668980615292,3.1202499956907466,3.117331996647902,0.001714548124571612,30.234929478167626,30.296339376724656,30.3154359241766,30.232407533299103,30.303305621015397,30.378629259151467,30.293507865422477,0.04999197092362217,0.9103950205949348,0.9122441158905576,0.9128191263837474,0.9103190830587756,0.9124538744123728,0.9147219222059584,0.9121588570910578,0.001505293453105507,25.11,0.1,347.0,3.304536585365797,3.308193818573664,3.3021353344305866,3.2984201596815033,3.303321474512887,0.0035583017860571953,36.0854140852734,36.20535727568552,36.00680652614964,35.885411322216356,36.04574730233123,0.11648262513370675,28.95,2.28,2009.125,1942.75,66.0,609.2546456788409,2075.5,bdg,2
43,700.0,1900-01-01 07:57:00,1900-01-01 07:57:09,2726.0,2542.0,2634.0,92.0,3.115881954382436,3.1146862154558015,3.1209395637571005,3.119664222288113,3.1207734379227903,3.1172195885322274,3.1181941637230786,0.002413598931478585,30.251226550071358,30.216412628983086,30.39877453196209,30.361523271595225,30.39392046201973,30.290203425568862,30.31867681170007,0.07039330627324787,0.9108857369077394,0.9098374652248492,0.9153285105582996,0.9142068488731496,0.9151823510936866,0.9120593580797979,0.912916711789587,0.0021195920288372295,25.04,0.13,355.0,3.302407933450303,3.3078338726033434,3.302922449636125,3.298801084706344,3.302991335099029,0.0032153332068708515,36.015724601403605,36.1935406573562,36.03256100761957,35.89784566587196,36.03491798306283,0.10526622698284112,29.14,2.33,2049.25,1980.25,69.0,623.4483283520776,2118.25,bdg,2
